Quarter,Category,Store,Department,Amount
"Q1, 26",Supplies,A,MEAT ,2803.00
"Q2, 25",Wages,A,Store Mgr Pay,2876.00
"Q3, 25",Cost of Goods Sold,A,PRODUCE ,2882.00
"Q1, 24",Cost of Goods Sold,A,WINE ,2905.00
"Q1, 26",Cost of Goods Sold,A,DELI ,2906.00
"Q3, 25",Sales,A,FLORAL ,3008.00
"Q2, 25",Cost of Goods Sold,A,TOBACCO ,3196.00
"Q4, 24",Sales,A,FLORAL ,3208.00
"Q2, 24",Wages,A,MEAT ,3215.00
"Q3, 24",Wages,A,Store Mgr Pay,3316.00
"Q4, 25",Wages,A,Store Mgr Pay,3326.00
"Q2, 25",Supplies,A,Grocery,3409.00
"Q4, 25",Sales,A,FLORAL ,3473.00
"Q4, 24",Supplies,A,MEAT ,3535.00
"Q2, 26",Cost of Goods Sold,A,BAKERY ,3549.00
"Q4, 24",Wages,A,Store Mgr Pay,3551.00
"Q1, 26",Wages,A,Store Mgr Pay,3575.00
"Q4, 25",Cost of Goods Sold,A,BAKERY ,3648.00
"Q2, 26",Wages,A,Store Mgr Pay,3691.00
"Q2, 24",Sales,A,WINE ,3755.00
"Q3, 24",Cost of Goods Sold,A,TOBACCO ,3789.00
"Q1, 25",Supplies,A,Grocery,3820.00
"Q3, 25",Supplies,A,Grocery,3851.00
"Q3, 25",Cost of Goods Sold,A,DELI ,3920.00
"Q1, 24",Wages,A,Grocery,3960.00
"Q1, 24",Cost of Goods Sold,A,WINE ,3990.00
"Q3, 24",Wages,A,Grocery,4100.00
"Q4, 25",Cost of Goods Sold,A,WINE ,4168.00
"Q1, 24",Sales,A,WINE ,4207.00
"Q2, 24",Wages,A,Grocery,4229.00
"Q2, 25",Cost of Goods Sold,A,WINE ,4395.00
"Q2, 26",Cost of Goods Sold,A,WINE ,4528.00
"Q1, 25",Cost of Goods Sold,A,WINE ,4700.00
"Q3, 25",Wages,A,Store Mgr Pay,4721.00
"Q1, 26",Cost of Goods Sold,A,FLORAL ,4738.00
"Q3, 24",Sales,A,WINE ,4788.00
"Q2, 26",Wages,A,MEAT ,4794.00
"Q2, 25",Cost of Goods Sold,A,BEER ,4869.00
"Q1, 26",Cost of Goods Sold,A,WINE ,4914.00
"Q1, 26",Wages,A,MEAT ,4967.00
"Q3, 25",Cost of Goods Sold,A,MEAT ,4978.00
"Q4, 24",Cost of Goods Sold,A,WINE ,5004.00
"Q2, 24",Cost of Goods Sold,A,PRODUCE ,5005.00
"Q1, 25",Cost of Goods Sold,A,PRODUCE ,5006.00
"Q4, 25",Cost of Goods Sold,A,DELI ,5157.00
"Q3, 24",Sales,A,FLORAL ,5263.00
"Q4, 25",Cost of Goods Sold,A,PRODUCE ,5693.00
"Q2, 25",Cost of Goods Sold,A,DELI ,5739.00
"Q2, 25",Cost of Goods Sold,A,HBA ,5760.00
"Q2, 26",Cost of Goods Sold,A,Grocery,6193.00
"Q3, 25",Cost of Goods Sold,A,WINE ,6223.00
"Q4, 24",Sales,A,WINE ,6326.00
"Q2, 25",Wages,A,PRODUCE ,6344.00
"Q3, 24",Cost of Goods Sold,A,WINE ,6380.00
"Q3, 25",Sales,A,WINE ,6567.00
"Q2, 26",Sales,A,WINE ,6585.00
"Q3, 25",Cost of Goods Sold,A,MEAT ,6730.00
"Q2, 25",Sales,A,WINE ,6763.00
"Q3, 25",Cost of Goods Sold,A,TOBACCO ,6877.00
"Q1, 26",Cost of Goods Sold,A,PRODUCE ,7205.00
"Q1, 25",Sales,A,WINE ,7275.00
"Q1, 25",Cost of Goods Sold,A,DELI ,7282.00
